0.1668	0.1668	0.1669	0.167	0.1671	0.1676	0.1685	0.1716	0.1782
0.1668	0.1668	0.1669	0.167	0.1671	0.1676	0.1685	0.1716	0.1781
0.1668	0.1668	0.1669	0.167	0.1671	0.1676	0.1685	0.1716	0.1783
0.1668	0.1668	0.1669	0.167	0.167	0.1676	0.1686	0.1717	0.1786
0.1669	0.1669	0.167	0.167	0.167	0.1679	0.1688	0.172	0.1788
0.1678	0.1678	0.1679	0.168	0.168	0.1688	0.1698	0.1728	0.1798
0.1693	0.1693	0.1692	0.1699	0.1702	0.1707	0.1713	0.1748	0.1825
0.1732	0.1732	0.173	0.1734	0.1738	0.1748	0.1758	0.1797	0.19
0.19	0.1916	0.1918	0.19	0.19	0.1846	0.1877	0.1898	0.204
0.188	0.1881	0.188	0.188	0.1885	0.1895	0.1905	0.1934	0.1964
0.188	0.1881	0.188	0.188	0.1885	0.1895	0.1906	0.1934	0.1966
0.188	0.1881	0.188	0.188	0.1884	0.1896	0.1906	0.1933	0.1967
0.1881	0.1881	0.1881	0.1881	0.1886	0.1897	0.1908	0.1936	0.1971
0.1886	0.1886	0.1886	0.1887	0.1893	0.19	0.1912	0.1946	0.1972
0.1898	0.19	0.19	0.19	0.1906	0.191	0.1927	0.1959	0.1997
0.1919	0.1919	0.1921	0.1917	0.1915	0.1918	0.1941	0.1956	0.2008
0.193	0.193	0.1932	0.1925	0.1922	0.1932	0.1966	0.1979	0.2038
0.2104	0.2138	0.2137	0.2103	0.2094	0.2024	0.2041	0.2033	0.2143
0.6453	0.6452	0.6452	0.6451	0.6445	0.643	0.641	0.6349	0.6254
0.6453	0.6452	0.6452	0.6451	0.6445	0.643	0.6409	0.6349	0.6253
0.6453	0.6452	0.6452	0.6451	0.6446	0.6429	0.6409	0.635	0.625
0.6452	0.6452	0.6451	0.645	0.6445	0.6428	0.6406	0.6346	0.6243
0.6446	0.6446	0.6445	0.6444	0.6438	0.6422	0.64	0.6333	0.624
0.6425	0.6423	0.6422	0.6421	0.6414	0.6402	0.6375	0.6312	0.6205
0.6388	0.6388	0.6387	0.6384	0.6382	0.6374	0.6345	0.6296	0.6167
0.6337	0.6337	0.6337	0.634	0.6339	0.6319	0.6276	0.6224	0.6062
0.5995	0.5945	0.5944	0.5997	0.6007	0.613	0.6083	0.607	0.5817
